fy,state_abbrev,fips,y,x1,x2,x3,x4,x5,MD,decade,state,region_compact,state_name,yfte,MDSREB,lnnetut,lnfte,lnperinc
1986,CA,6,4121700096,504700000,979150,46584569856,476682,27102238,0,1,CA,2,CALIFORNIA,4209.4673,,20.039474,13.79444,13.074605
1987,CA,6,4785099776,525400000,1017608,52835942400,513377,27777160,0,1,CA,2,CALIFORNIA,4702.3018,,20.07967,13.832965,13.148766
1988,CA,6,4957300224,561500032,1041280,55167545344,558041,28464250,0,1,CA,2,CALIFORNIA,4760.7754,,20.146122,13.855961,13.232187
1989,CA,6,5070099968,546300032,1047288,60665597952,600755,29218164,0,1,CA,2,CALIFORNIA,4841.1709,,20.118679,13.861714,13.305943
1990,CA,6,5358400000,650899968,1141287,66255663104,643685,29959516,0,2,CA,2,CALIFORNIA,4695.0503,,20.293867,13.947667,13.374965
1991,CA,6,5792500224,715299968,1107711,69344051200,665993,30470736,0,2,CA,2,CALIFORNIA,5229.2524,,20.388212,13.917807,13.409035
1992,CA,6,5425399808,906400000,1116255,73768534016,702449,30974660,0,2,CA,2,CALIFORNIA,4860.3589,,20.62499,13.925489,13.462328
1993,CA,6,4750799872,1137699968,1104739,74939252736,719731,31274928,0,2,CA,2,CALIFORNIA,4300.3823,,20.852274,13.91512,13.486632
1994,CA,6,4300199936,1288300032,1069633,75571142656,742429,31484436,0,2,CA,2,CALIFORNIA,4020.2573,,20.976589,13.882826,13.517682
1995,CA,6,4828899840,1352999936,1073048,81186029568,780643,31696582,0,2,CA,2,CALIFORNIA,4500.1714,,21.025591,13.886014,13.567873
1996,CA,6,5344600064,1306099968,1103616,86214688768,829667,32018834,0,2,CA,2,CALIFORNIA,4842.8076,,20.990311,13.914103,13.628779
1997,CA,6,5934700032,1318599936,1143849,90516873216,882677,32486010,0,2,CA,2,CALIFORNIA,5188.3599,,20.999836,13.949909,13.690715
1998,CA,6,7171899904,1360099968,1157374,98716033024,959950,32987676,0,2,CA,2,CALIFORNIA,6196.7002,,21.030825,13.961664,13.774636
1999,CA,6,7321200128,1417357952,1194874,104977252352,1026419,33499204,0,2,CA,2,CALIFORNIA,6127.1733,,21.07206,13.993551,13.841587
2000,CA,6,7892427776,1083961984,1433493,120067579904,1133965,33987976,0,3,CA,2,CALIFORNIA,5505.7314,,20.803888,14.175625,13.941231
2001,CA,6,9073737728,1080848000,1277325,130877816832,1173769,34479456,0,3,CA,2,CALIFORNIA,7103.7031,,20.801012,14.060279,13.975731
2002,CA,6,9598074880,1083536000,1309404,120424062976,1193118,34871844,0,3,CA,2,CALIFORNIA,7330.1099,,20.803495,14.085083,13.992081
2003,CA,6,9479429120,1226222976,1413927,116992065536,1248507,35253160,0,3,CA,2,CALIFORNIA,6704.3271,,20.927204,14.161881,14.037459
2004,CA,6,8715426816,1713118976,1401271,133893627904,1329404,35574576,0,3,CA,2,CALIFORNIA,6219.6582,,21.261581,14.15289,14.100242
2005,CA,6,9140927488,2058364032,1433492,146616893440,1407286,35827944,0,3,CA,2,CALIFORNIA,6376.6855,,21.445177,14.175624,14.157173
2006,CA,6,10115494912,2650223104,1373351,163749003264,1516058,36021200,0,3,CA,2,CALIFORNIA,7365.5566,,21.69791,14.132764,14.231624
2007,CA,6,11036611584,2796139008,1434993,179854573568,1581573,36250312,0,3,CA,2,CALIFORNIA,7691.0562,,21.751505,14.17667,14.273931
2008,CA,6,11620239360,1980166016,1507467,186014892032,1606580,36604336,0,3,CA,2,CALIFORNIA,7708.4536,,21.406446,14.225942,14.289618
2009,CA,6,11182592000,2489571328,1639923,169593978880,1554013,36961228,0,3,CA,2,CALIFORNIA,6818.9736,,21.635376,14.31016,14.256351
2010,CA,6,10114802688,2829285632,1612044,172629721088,1628458,37320904,0,4,CA,2,CALIFORNIA,6274.52,,21.76329,14.293014,14.303144
2011,CA,6,10984313856,2346617856,1586699,185218203648,1737940,37641824,0,4,CA,2,CALIFORNIA,6922.7456,,21.576241,14.277166,14.368211
2012,CA,6,9146297344,3476167936,1541159,183660019712,1852398,37960784,0,4,CA,2,CALIFORNIA,5934.6875,,21.969196,14.248045,14.431992
2013,CA,6,9377928192,3496011776,1501945,204653379584,1886379,38280824,0,4,CA,2,CALIFORNIA,6243.856,,21.974888,14.222272,14.45017
2014,CA,6,10765416448,3703092480,1517902,211364659200,2021039,38625140,0,4,CA,2,CALIFORNIA,7092.3003,,22.032434,14.23284,14.519122
