endyear,opeid5_new,lneg,lnstatea,lntuition,lntotfteiarep,lnftfac,lnptfac
2004,1561,17.322525,17.05722,16.337494,8.6786318,5.2933049,5.0875964
2006,1561,17.474985,17.237822,16.560684,8.7492571,5.3890719,5.2781148
2007,1561,17.58725,17.328638,16.736355,8.7750864,5.5093884,5.31812
2008,1561,17.652758,17.428959,16.822157,8.7757034,5.5093884,5.2311087
2009,1561,17.642607,17.352797,16.949137,8.8146276,5.5333896,5.1817837
2010,1561,17.918407,17.144228,17.189783,8.8586531,5.5683446,5.2626901
2011,1561,17.96921,17.23926,17.321571,8.8616333,5.5909872,5.3327188
2012,1561,18.042341,17.186872,17.485487,8.8638983,5.6058021,5.2933049
2013,1561,18.075808,17.213385,17.496161,8.8359375,5.6698809,5.4293456
2004,1573,16.535561,16.319921,15.254696,7.6544433,4.6151204,3.3672957
2005,1573,16.53709,16.274893,15.276865,7.6401234,4.5108595,3.3322046
2006,1573,16.539803,16.282904,15.388922,7.6769371,4.4308167,3.713572
2008,1573,16.703606,16.447727,15.472912,7.6778636,4.5325994,3.6888795
2010,1573,16.650274,16.075535,15.897552,7.8905826,4.5747108,3.871201
2011,1573,16.860052,16.231188,16.072067,7.9505024,4.6347289,3.9702919
2012,1573,16.980135,16.17174,16.349979,7.9420066,4.6821313,3.9889841
2013,1573,16.925152,16.190409,16.243454,7.8972964,4.6821313,4.0430512
2004,1577,18.132833,17.784178,17.530405,9.579833,6.089045,5.869297
2005,1577,18.238747,17.895,17.641243,9.6123323,6.2363696,5.8260002
2006,1577,18.334398,18.026752,17.714174,9.664278,6.3135481,5.8861041
2007,1577,18.480539,18.102772,17.853292,9.7455463,6.3868794,6.0014148
2008,1577,18.57967,18.192284,17.976725,9.8006239,6.4473057,6.182085
2009,1577,18.659182,18.175293,18.13625,9.8601627,6.49224,6.2025356
2010,1577,18.81793,17.994974,18.294781,9.9203444,6.5381398,6.3189683
2011,1577,18.959209,18.085785,18.450617,9.9631233,6.5944133,6.3508859
2012,1577,19.001446,18.076422,18.55757,9.9742718,6.6012301,6.3578424
2013,1577,19.036522,18.114258,18.593275,9.9625111,6.5736804,6.4754329
2004,1599,17.815441,17.570826,16.88994,9.1365862,6.0497336,4.9052749
2005,1599,17.851484,17.559319,16.932127,9.1460152,6.0426331,4.2766662
2006,1599,17.939453,17.653028,17.072119,9.1448412,6.0776424,4.7095304
2007,1599,17.956764,17.686865,17.209311,9.1860476,6.089045,4.8202815
2008,1599,18.077049,17.756659,17.331549,9.234643,6.09131,4.9767337
2009,1599,18.069035,17.702946,17.407188,9.2641659,6.1527328,5.0369525
2010,1599,18.181494,17.519604,17.623327,9.3329115,6.1590953,4.7957907
2011,1599,18.296743,17.600361,17.782278,9.3677711,6.2146082,4.8283138
2012,1599,18.271168,17.554337,17.850962,9.3707571,6.1944056,4.8520303
2013,1599,18.35277,17.587793,17.880983,9.3197327,6.1612072,4.882802
2004,1602,17.336569,17.055082,16.515621,8.5379753,5.6240177,4.919981
2005,1602,17.442503,17.113554,16.582771,8.514389,5.6383548,4.8202815
2006,1602,17.534344,17.188549,16.721107,8.5512085,5.5947113,4.8520303
2007,1602,17.600342,17.180513,16.890394,8.6363974,5.6240177,4.7957907
2008,1602,17.640852,17.286047,17.028925,8.6899691,5.572154,4.7449322
2009,1602,17.687737,17.253071,17.132729,8.7250204,5.6383548,4.59512
2010,1602,17.829868,17.055811,17.271511,8.7495737,5.7104268,4.5217886
2011,1602,17.991919,17.139893,17.465612,8.7576265,5.7589016,4.4659081
2012,1602,18.033588,17.086634,17.611603,8.7623329,5.7235851,4.5217886
2013,1602,18.041273,17.089188,17.663061,8.7448063,5.7397928,4.5538769
2004,1616,18.356077,18.08717,17.69282,9.6046095,6.2461066,5.9939613
2006,1616,18.427057,18.168346,17.877565,9.5996761,6.3613024,6.1675167
2007,1616,18.482649,18.243572,17.977449,9.6163387,6.3699012,6.1590953
2008,1616,18.599241,18.311108,18.055727,9.6626892,6.4068799,6.2633982
2009,1616,18.674959,18.315699,18.131674,9.6965246,6.4345465,6.2595816
2010,1616,18.725388,18.144066,18.146532,9.6919022,6.329721,6.1548581
2011,1616,18.788904,18.089899,18.23354,9.7327585,6.3885612,6.0354815
2012,1616,18.79916,18.026236,18.380629,9.7157717,6.4345465,6.2265368
2013,1616,18.863949,18.124031,18.453899,9.7276449,6.4361506,6.2934194
2004,1674,18.581253,17.628441,17.606325,9.2862825,6.3868794,4.4998097
2005,1674,18.322357,17.647905,17.691406,9.2900753,6.4599047,4.5325994
2006,1674,18.345757,17.647909,17.818775,9.3267889,6.4150968,4.9836068
2007,1674,18.441994,17.661945,17.916929,9.3439093,6.4281054,5.0304379
2008,1674,18.466396,17.680552,17.977947,9.3282127,6.4937539,4.6728287
2009,1674,18.542192,17.68285,18.023886,9.3208971,6.4785094,5.0625949
2010,1674,18.709343,17.647999,18.10701,9.309824,6.4488893,5.0875964
2011,1674,18.726551,17.643864,18.1201,9.2694578,6.4281054,4.94876
2012,1674,18.758053,17.632494,18.215282,9.2228613,6.3969297,4.9628448
2013,1674,18.885839,17.570229,18.092752,9.1500597,6.3835068,5.0434251
2004,1693,18.28986,17.431953,17.021667,8.2812176,5.9889612,5.4510384
2006,1693,18.040148,17.452744,17.275959,9.0676241,6.0306854,5.5834961
2008,1693,18.125006,17.492216,17.484875,9.0087137,6.0210233,5.676754
2009,1693,18.247084,17.570045,17.538422,8.9959087,6.0450053,5.6312118
2010,1693,18.398129,17.463163,17.71163,9.0481739,6.0038872,5.6903596
2011,1693,18.451824,17.491381,17.756166,9.0667009,6.0330863,5.7137327
2012,1693,18.539841,17.479454,17.815159,9.0447578,6.0354815,5.7104268
2013,1693,18.627598,17.417387,17.788654,8.9878216,5.9532433,5.5490761
2004,1694,18.168793,18.104347,16.634518,8.5217829,5.7651911,3.8501475
2006,1694,17.779707,17.737331,16.895594,8.556222,5.7462034,5.0498562
2007,1694,17.854759,17.816225,16.876986,8.5127831,5.7397928,5.0039463
2008,1694,17.872467,17.892387,17.008915,8.5237713,5.7620516,4.7957907
2009,1694,17.857241,17.896051,17.154072,8.5383673,5.7333412,4.9416423
2010,1694,18.254875,17.993221,17.304932,8.6395874,5.7397928,4.7184987
2011,1694,18.325048,17.982864,17.416506,8.7035065,5.6698809,5.433722
2012,1694,18.333738,18.040405,17.48452,8.6009827,5.6970935,5.1590552
2013,1694,18.387533,18.141623,17.464851,8.4912596,5.7235851,4.7874918
2004,1759,18.341751,17.925484,17.516546,9.3412809,6.2557502,5.4971681
