STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL
10717,1,5,-0.4399,2,-7,-7
10718,2,5,-0.382,2,5,2
10719,1,5,-0.3693,2,-8,-8
10720,2,3,-1.2395,1,4,1
10721,2,3,-8,-8,4,1
10722,2,8,-0.2079,3,-8,-8
10723,1,8,1.013,5,4,1
10724,2,2,0.308,4,4,2
10725,2,2,1.1489,5,4,3
10726,2,8,1.7902,5,-7,2
10727,1,2,0.4352,4,-8,-8
10728,1,8,0.2238,4,4,1
10729,1,8,0.003,3,4,3
10730,2,3,0.1646,4,-7,2
10731,1,8,-0.5506,2,5,2
10732,2,2,-1.0862,1,-8,1
10733,2,8,-0.4549,2,4,-4
10734,1,2,1.1341,5,5,1
10735,2,2,0.6284,5,-8,1
10736,1,8,-0.2285,3,4,2
10737,2,8,0.7961,5,4,1
10738,2,8,0.2391,4,-8,3
10739,1,-9,-8,-8,-8,1
10740,2,8,-0.3641,2,3,3
10741,2,4,-0.4404,2,-9,2
10742,2,8,-0.6333,2,4,1
10743,1,8,-0.2075,3,-7,-7
10744,2,8,-0.0226,3,-7,3
10745,1,5,1.2108,5,4,1
10746,2,5,-0.4959,2,6,-7
10747,1,8,-0.5789,2,-8,-7
10748,1,8,-0.1967,3,-7,-8
10750,2,2,1.6793,5,-8,2
10751,1,8,1.2149,5,4,1
10752,1,8,1.433,5,4,2
10753,1,2,0.2825,4,4,1
10754,2,8,-0.1247,3,-8,-8
10755,1,8,-0.5512,2,-7,-8
10756,2,8,0.4308,4,4,2
10757,1,3,-1.2098,1,6,-8
10758,1,8,1.5402,5,4,-8
10759,1,8,-0.3431,2,6,1
10760,1,8,-8,-8,-7,-7
10761,2,8,1.0326,5,4,1
