academicyr,unitid,cc2010,grantlow
2010,110404,15. RU/VH: Research Universities (very high research activity),
2010,152390,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,157100,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,218973,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,190716,18. Master's L: Master's Colleges and Universities (larger programs),
2010,172334,18. Master's L: Master's Colleges and Universities (larger programs),
2010,128683,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,165167,18. Master's L: Master's Colleges and Universities (larger programs),
2010,178059,17. DRU: Doctoral/Research Universities,
2010,451185,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,173258,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,216667,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,135081,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,192925,18. Master's L: Master's Colleges and Universities (larger programs),
2010,381787,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,225548,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,446048,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,216807,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,440767,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,148335,19. Master's M: Master's Colleges and Universities (medium programs),
2010,251312,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,174394,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,182430,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,137476,18. Master's L: Master's Colleges and Universities (larger programs),
2010,174491,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,193353,18. Master's L: Master's Colleges and Universities (larger programs),
2010,195003,18. Master's L: Master's Colleges and Universities (larger programs),
2010,237154,18. Master's L: Master's Colleges and Universities (larger programs),
2010,174792,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,194091,18. Master's L: Master's Colleges and Universities (larger programs),
2010,192703,19. Master's M: Master's Colleges and Universities (medium programs),
2010,195720,17. DRU: Doctoral/Research Universities,
2010,123165,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,165936,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
