fips,state_abbrev,state,fy,state_appropr,fte_enrollment,fed_relief
17,IL,ILLINOIS,1990,1530100000,357722,
17,IL,ILLINOIS,1991,1572000000,371187,
17,IL,ILLINOIS,1992,1555500000,383363,
17,IL,ILLINOIS,1993,1607900000,380093,
17,IL,ILLINOIS,1994,1678400000,368286,
17,IL,ILLINOIS,1995,1763400000,358892,
17,IL,ILLINOIS,1996,1854300000,355906,
17,IL,ILLINOIS,1997,1944000000,338802,
17,IL,ILLINOIS,1998,2086900000,341197,
17,IL,ILLINOIS,1999,2237100000,342542,
17,IL,ILLINOIS,2000,2525706453,324174,
17,IL,ILLINOIS,2001,2671997663,323876,0
17,IL,ILLINOIS,2002,2817631836,335188,0
17,IL,ILLINOIS,2003,2714920945,348182,0
17,IL,ILLINOIS,2004,2722475126,356961,0
